Source: ACS 1-Year Estimates Public Use Microdata Sample 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: PWGTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universe: selected geographies: Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sex (SEX),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Male,,,,,,,,,,,,,,Female,,,,,,,,,,,,,
,,Age recode (AGEP_RC1),,,,,,,,,,,,,,Age recode (AGEP_RC1),,,,,,,,,,,,,
Occupation recode for 2018 and later based on 2018 OCC codes,Total,Total Age recode (AGEP_RC1),18,19,20,21,22,23,24,25,26,27,28,29,30,Total Age recode (AGEP_RC1),18,19,20,21,22,23,24,25,26,27,28,29,30
OFF-Loan Interviewers And Clerks,296,180,0,0,0,0,89,0,0,0,91,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,116
OFF-New Accounts Clerks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF-Correspondence Clerks And Order Clerks,72,72,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OFF-Human Resources Assistants, Except Payroll And Timekeeping",625,117,0,0,0,0,0,0,0,0,0,0,0,0,117,508,0,0,0,119,321,68,0,0,0,0,0,0,0
OFF-Receptionists And Information Clerks,10734,4742,581,506,1130,650,690,489,635,0,0,0,61,0,0,5992,255,682,831,853,739,430,497,345,612,531,28,189,0
OFF-Reservation And Transportation Ticket Agents And Travel Clerks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF-Other Information And Records Clerks,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,250,0,0
OFF-Cargo And Freight Agents,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF-Couriers And Messengers,4546,3831,178,39,896,278,111,686,370,68,206,442,327,78,152,715,266,0,0,0,0,0,0,47,130,219,0,0,53
OFF-Public Safety Telecommunicators,435,309,0,0,0,0,50,89,92,0,0,78,0,0,0,126,0,126,0,0,0,0,0,0,0,0,0,0,0
"OFF-Dispatchers, Except Police, Fire, And Ambulance",269,160,0,0,160,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,109,0
"OFF-Meter Readers, Utilities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF-Postal Service Clerks,732,443,0,0,0,0,0,0,294,0,0,0,149,0,0,289,0,0,0,0,0,0,0,0,131,158,0,0,0
OFF-Postal Service Mail Carriers,852,625,0,0,0,0,0,0,54,41,181,132,99,29,89,227,0,0,0,0,0,0,0,56,51,120,0,0,0
"OFF-Postal Service Mail Sorters, Processors, And Processing Machine Operators",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OFF-Production, Planning, And Expediting Clerks",1550,1038,0,166,0,0,0,0,176,242,0,0,72,0,382,512,0,0,61,108,268,0,0,0,0,0,0,0,75
"OFF-Shipping, Receiving, And Inventory Clerks",950,877,119,187,0,0,0,125,32,74,0,66,222,52,0,73,0,0,0,0,0,0,0,0,0,0,73,0,0
"OFF-Weighers, Measurers, Checkers, And Samplers, Recordkeeping",374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,176,198,0,0
OFF-Executive Secretaries And Executive Administrative Assistants,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,0,0,0,0,0,0,0,0,0,0,206,79,183
OFF-Legal Secretaries and Administrative Assistants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF-Medical Secretaries and Administrative Assistants,177,177,0,0,0,0,0,0,0,0,55,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive",4095,392,110,0,102,0,0,0,0,66,23,0,91,0,0,3703,0,0,371,240,119,1103,0,143,382,430,60,123,732
OFF-Data Entry Keyers,469,111,0,0,77,0,0,34,0,0,0,0,0,0,0,358,0,0,0,0,64,150,86,58,0,0,0,0,0
OFF-Word Processors And Typists,379,379,0,0,0,0,0,297,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF-Insurance Claims And Policy Processing Clerks,406,80,0,0,0,0,0,0,0,80,0,0,0,0,0,326,0,0,0,0,0,0,0,0,278,0,0,0,48
"OFF-Mail Clerks And Mail Machine Operators, Except Postal Service",975,677,0,316,197,0,0,0,72,0,0,92,0,0,0,298,0,0,0,0,298,0,0,0,0,0,0,0,0
"OFF-Office Clerks, General",6674,2854,296,451,105,314,61,60,209,0,560,386,224,148,40,3820,0,42,405,492,356,291,133,728,104,62,115,690,402
"OFF-Office Machine Operators, Except Computer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF-Proofreaders And Copy Markers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF-Statistical Assistants,73,73,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF-Other Office And Administrative Support Workers,605,340,0,0,0,0,0,0,0,0,117,111,112,0,0,265,0,0,0,0,0,0,0,73,93,0,0,52,47
"FFF-First-Line Supervisors Of Farming, Fishing, And Forestry Workers",165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,165,0,0,0,0,0,0,0,0,0,0
FFF-Agricultural Inspectors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FFF-Graders And Sorters, Agricultural Products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFF-Other Agricultural Workers,985,441,119,8,59,0,0,0,0,0,255,0,0,0,0,544,22,209,208,0,0,0,0,0,0,0,0,0,105
FFF-Fishing And Hunting Workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFF-Forest And Conservation Workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFF-Logging Workers,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON-First-Line Supervisors Of Construction Trades And Extraction Workers,1336,1336,0,0,0,0,0,0,0,500,244,415,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON-Boilermakers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CON-Brickmasons, Blockmasons, Stonemasons, And Reinforcing Iron And Rebar Workers",448,448,0,0,0,0,0,284,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON-Carpenters,3612,3092,12,514,83,79,164,285,0,446,145,674,46,301,343,520,0,0,316,0,137,0,0,0,0,0,0,0,67
"CON-Carpet, Floor, And Tile Installers And Finishers",294,294,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CON-Cement Masons, Concrete Finishers, And Terrazzo Workers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON-Construction Laborers,5214,5214,505,178,96,531,378,1487,539,785,166,122,247,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON-Construction Equipment Operators,224,224,0,0,90,0,0,29,0,0,0,41,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CON-Drywall Installers, Ceiling Tile Installers, And Tapers",198,198,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON-Electricians,2388,1976,0,0,150,224,0,122,187,334,62,62,181,193,461,412,0,173,0,141,98,0,0,0,0,0,0,0,0
CON-Glaziers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON-Insulation Workers,150,150,0,86,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON-Painters and Paperhangers,839,839,0,0,0,100,167,193,0,62,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON-Pipelayers,62,62,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CON-Plumbers, Pipefitters, And Steamfitters",2233,2233,365,0,0,0,78,320,0,108,285,126,58,473,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON-Plasterers And Stucco Masons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON-Roofers,65,65,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON-Sheet Metal Workers,40,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON-Structural Iron And Steel Workers,424,424,0,0,0,0,0,0,0,0,144,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON-Solar Photovoltaic Installers,510,510,0,0,0,206,116,0,0,0,0,0,57,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CON-Helpers, Construction Trades",702,702,0,0,0,0,0,0,643,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON-Construction And Building Inspectors,72,72,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON-Elevator And Escalator Installers And Repairers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON-Fence Erectors,206,206,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON-Hazardous Materials Removal Workers,88,88,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON-Highway Maintenance Workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON-Rail-Track Laying And Maintenance Equipment Operators,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON-Other Construction And Related Workers,134,134,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EXT-Derrick, Rotary Drill, And Service Unit Operators, And Roustabouts, Oil And Gas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXT-Surface Mining Machine Operators And Earth Drillers,80,80,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EXT-Explosives Workers, Ordnance Handling Experts, and Blasters",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXT-Underground Mining Machine Operators,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXT-Other Extraction Workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPR-First-Line Supervisors Of Mechanics, Installers, And Repairers",679,679,0,0,0,0,0,0,0,0,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPR-Computer, Automated Teller, And Office Machine Repairers",86,86,0,0,0,0,46,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPR-Radio And Telecommunications Equipment Installers And Repairers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPR-Avionics Technicians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPR-Electric Motor, Power Tool, And Related Repairers",723,723,0,0,0,0,0,0,0,597,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPR-Other Electrical And Electronic Equipment Mechanics, Installers, And Repairers",9,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPR-Audiovisual Equipment Installers And Repairers,119,119,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPR-Security And Fire Alarm Systems Installers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPR-Aircraft Mechanics And Service Technicians,130,130,0,0,0,0,0,0,0,60,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPR-Automotive Body And Related Repairers,764,764,0,0,0,0,398,214,0,0,0,0,84,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPR-Automotive Glass Installers And Repairers,401,401,0,0,0,29,0,167,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPR-Automotive Service Technicians And Mechanics,2468,2468,0,380,0,320,298,246,389,233,368,0,123,70,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPR-Bus And Truck Mechanics And Diesel Engine Specialists,316,316,0,0,0,0,0,75,0,0,0,0,134,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPR-Heavy Vehicle And Mobile Equipment Service Technicians And Mechanics,202,202,0,0,0,121,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPR-Small Engine Mechanics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPR-Miscellaneous Vehicle And Mobile Equipment Mechanics, Installers, And Repairers",44,44,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPR-Control And Valve Installers And Repairers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPR-Heating, Air Conditioning, And Refrigeration Mechanics And Installers",2594,2594,0,48,13,145,331,908,371,85,180,91,276,88,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPR-Home Appliance Repairers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPR-Industrial And Refractory Machinery Mechanics,351,351,0,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPR-Maintenance And Repair Workers, General",1177,979,0,0,0,205,248,0,0,0,0,61,90,98,277,198,0,0,0,0,0,0,62,0,0,136,0,0,0
"RPR-Maintenance Workers, Machinery",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPR-Millwrights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPR-Electrical Power-Line Installers And Repairers,294,294,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPR-Telecommunications Line Installers And Repairers,269,269,0,0,0,0,128,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPR-Precision Instrument And Equipment Repairers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPR-Coin, Vending, And Amusement Machine Servicers And Repairers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPR-Locksmiths And Safe Repairers,143,143,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPR-Riggers,58,58,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPR-Helpers--Installation, Maintenance, And Repair Workers",68,68,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPR-Other Installation, Maintenance, And Repair Workers",622,622,55,0,0,0,231,0,0,0,258,43,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-First-Line Supervisors Of Production And Operating Workers,441,210,0,0,83,0,0,0,0,0,0,0,0,54,73,231,0,0,0,0,0,0,0,231,0,0,0,0,0
"PRD-Electrical, Electronics, And Electromechanical Assemblers",130,63,0,0,0,0,0,0,0,0,0,0,0,0,63,67,0,0,0,0,0,0,0,0,0,0,0,0,67
PRD-Engine And Other Machine Assemblers,43,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-Structural Metal Fabricators And Fitters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-Other Assemblers And Fabricators,3002,2557,0,88,0,0,171,323,194,458,332,51,0,499,441,445,0,109,0,0,73,0,0,0,174,0,0,89,0
PRD-Bakers,1433,354,13,90,0,0,28,0,0,0,170,0,0,53,0,1079,0,0,228,0,0,0,80,151,162,0,365,0,93
"PRD-Butchers And Other Meat, Poultry, And Fish Processing Workers",737,737,0,247,58,0,0,36,0,293,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRD-Food And Tobacco Roasting, Baking, And Drying Machine Operators And Tenders",98,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-Food Batchmakers,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,169,0,0,0,0,0,0,0,0,0,0
PRD-Food Cooking Machine Operators And Tenders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRD-Food Processing Workers, All Other",42,42,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-Computer Numerically Controlled Tool Operators And Programmers,969,969,0,0,0,136,73,0,0,0,291,301,129,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRD-Forming Machine Setters, Operators, And Tenders, Metal And Plastic",513,393,0,0,0,0,0,0,0,0,0,128,265,0,0,120,0,0,0,0,0,120,0,0,0,0,0,0,0
"PRD-Cutting, Punching, And Press Machine Setters, Operators, And Tenders, Metal And Plastic",133,133,0,0,0,69,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRD-Grinding, Lapping, Polishing, And Buffing Machine Tool Setters, Operators, And Tenders, Metal And Plastic",57,57,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRD-Other Machine Tool Setters, Operators, And Tenders, Metal and Plastic",121,121,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-Machinists,1528,1357,102,75,0,0,217,0,192,0,103,38,0,71,559,171,0,0,0,0,0,0,0,0,0,171,0,0,0
"PRD-Metal Furnace Operators, Tenders, Pourers, And Casters",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRD-Model Makers, Patternmakers, And Molding Machine Setters, Metal And Plastic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-Tool And Die Makers,713,713,0,0,0,0,0,0,0,0,106,143,103,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRD-Welding, Soldering, And Brazing Workers",912,912,0,0,0,0,0,117,0,140,74,0,25,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-Other Metal Workers And Plastic Workers,278,278,0,128,0,6,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-Prepress Technicians And Workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-Printing Press Operators,945,822,0,423,0,0,0,0,104,0,0,0,295,0,0,123,0,0,0,0,0,123,0,0,0,0,0,0,0
PRD-Print Binding And Finishing Workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-Laundry And Dry-Cleaning Workers,320,122,0,0,0,122,0,0,0,0,0,0,0,0,0,198,0,198,0,0,0,0,0,0,0,0,0,0,0
"PRD-Pressers, Textile, Garment, And Related Materials",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-Sewing Machine Operators,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-Shoe And Leather Workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRD-Tailors, Dressmakers, And Sewers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRD-Textile Machine Setters, Operators, And Tenders",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-Upholsterers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRD-Other Textile, Apparel, And Furnishings Workers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-Cabinetmakers And Bench Carpenters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-Furniture Finishers,168,168,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRD-Sawing Machine Setters, Operators, And Tenders, Wood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRD-Woodworking Machine Setters, Operators, And Tenders, Except Sawing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-Other Woodworkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRD-Power Plant Operators, Distributors, And Dispatchers",201,201,0,0,0,0,0,0,0,0,0,0,94,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-Stationary Engineers And Boiler Operators,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-Water And Wastewater Treatment Plant And System Operators,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-Miscellaneous Plant And System Operators,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRD-Chemical Processing Machine Setters, Operators, And Tenders",283,283,0,0,212,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRD-Crushing, Grinding, Polishing, Mixing, And Blending Workers",318,318,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-Cutting Workers,217,217,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRD-Extruding, Forming, Pressing, And Compacting Machine Setters, Operators, And Tenders",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRD-Furnace, Kiln, Oven, Drier, And Kettle Operators And Tenders",659,659,0,0,0,178,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRD-Inspectors, Testers, Sorters, Samplers, And Weighers",2415,1775,135,102,111,530,141,44,0,0,83,111,402,0,116,640,0,0,0,0,0,0,0,0,423,0,0,155,62
PRD-Jewelers And Precious Stone And Metal Workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-Dental And Ophthalmic Laboratory Technicians And Medical Appliance Technicians,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,90
PRD-Packaging And Filling Machine Operators And Tenders,48,48,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-Painting Workers,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,90,0,0,0,0,0,0,0,0
PRD-Photographic Process Workers And Processing Machine Operators,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-Adhesive Bonding Machine Operators And Tenders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-Etchers And Engravers,95,95,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRD-Molders, Shapers, And Casters, Except Metal And Plastic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRD-Paper Goods Machine Setters, Operators, And Tenders",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-Tire Builders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRD-Helpers--Production Workers,316,316,0,0,0,0,0,188,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRD-Miscellaneous Production Workers, Including Equipment Operators And Tenders",4379,3111,185,0,387,40,227,0,281,309,766,378,275,98,165,1268,0,0,67,0,50,0,339,179,0,0,122,0,511
TRN-Supervisors Of Transportation And Material Moving Workers,168,109,48,0,0,0,0,0,0,0,0,0,0,61,0,59,0,0,0,0,0,0,0,0,0,0,59,0,0
TRN-Aircraft Pilots And Flight Engineers,247,247,0,0,0,0,0,131,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRN-Air Traffic Controllers And Airfield Operations Specialists,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRN-Flight Attendants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRN-Ambulance Drivers And Attendants, Except Emergency Medical Technicians",125,125,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRN-Bus Drivers, School",79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,79,0,0,0,0
"TRN-Bus Drivers, Transit And Intercity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
