Source: ACS 1-Year Estimates Public Use Microdata Sample 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: PWGTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universe: selected geographies: Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sex (SEX),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Male,,,,,,,,,,,,,,Female,,,,,,,,,,,,,
,,Age recode (AGEP_RC1),,,,,,,,,,,,,,Age recode (AGEP_RC1),,,,,,,,,,,,,
Occupation recode for 2018 and later based on 2018 OCC codes,Total,Total Age recode (AGEP_RC1),18,19,20,21,22,23,24,25,26,27,28,29,30,Total Age recode (AGEP_RC1),18,19,20,21,22,23,24,25,26,27,28,29,30
CMM-Computer Programmers,597,597,0,0,31,0,202,0,0,216,0,0,0,76,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMM-Software Developers,4579,4025,0,0,0,218,150,266,535,766,621,363,698,123,285,554,0,0,104,0,154,40,76,0,72,0,0,0,108
CMM-Software Quality Assurance Analysts and Testers,342,269,0,0,0,0,0,0,97,0,0,0,114,0,58,73,0,0,0,0,0,0,0,0,0,0,0,73,0
CMM-Web Developers,220,136,0,0,0,0,0,0,0,0,0,0,136,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,84
CMM-Web And Digital Interface Designers,282,203,0,0,0,0,0,0,0,0,0,0,203,0,0,79,0,0,0,0,0,0,0,0,0,0,79,0,0
CMM-Computer Support Specialists,1318,1318,0,0,203,201,110,169,280,33,255,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMM-Database Administrators and Architects,232,56,0,0,0,0,0,0,0,0,0,0,0,0,56,176,0,0,0,0,0,0,0,0,0,176,0,0,0
CMM-Network And Computer Systems Administrators,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,16,46,0
CMM-Computer Network Architects,128,128,0,0,0,0,0,0,0,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMM-Computer Occupations, All Other",1435,1202,0,223,0,0,0,141,440,0,0,91,144,79,84,233,0,0,0,0,0,87,0,0,0,0,0,146,0
CMM-Actuaries,946,673,0,0,0,0,276,0,310,0,0,0,0,87,0,273,0,0,0,0,0,0,215,0,0,0,58,0,0
CMM-Operations Research Analysts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMM-Other Mathematical Science Occupations,2323,379,0,133,0,0,0,0,0,0,194,0,0,52,0,1944,93,125,747,109,0,0,337,35,0,73,0,34,391
"ENG-Architects, Except Landscape And Naval",1023,800,0,0,0,0,0,0,800,0,0,0,0,0,0,223,0,0,0,0,0,0,0,179,0,0,0,0,44
ENG-Landscape Architects,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,118,0,0,0,0,0,0,0,0,0,0
"ENG-Surveyors, Cartographers, And Photogrammetrists",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG-Aerospace Engineers,3046,2786,0,0,0,0,42,375,53,83,307,843,281,220,582,260,0,0,0,0,0,0,0,72,111,77,0,0,0
ENG-Biomedical And Agricultural Engineers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG-Chemical Engineers,1436,628,0,0,0,0,0,0,0,92,500,0,36,0,0,808,0,0,0,0,619,0,0,0,189,0,0,0,0
ENG-Civil Engineers,2313,1635,0,74,156,60,0,535,203,151,163,88,51,0,154,678,0,0,0,0,315,0,0,0,161,134,68,0,0
ENG-Computer Hardware Engineers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG-Electrical And Electronics Engineers,772,772,0,0,0,60,0,0,22,208,89,0,182,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG-Environmental Engineers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENG-Industrial Engineers, Including Health And Safety",1757,1692,0,0,0,0,46,0,552,279,345,52,132,286,0,65,0,0,0,0,0,0,65,0,0,0,0,0,0
ENG-Marine Engineers And Naval Architects,583,450,0,0,0,0,146,0,0,156,0,82,0,66,0,133,0,0,0,0,0,0,133,0,0,0,0,0,0
ENG-Materials Engineers,77,77,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG-Mechanical Engineers,1157,1090,0,0,0,0,246,495,0,0,97,30,222,0,0,67,0,0,0,0,0,0,67,0,0,0,0,0,0
"ENG-Petroleum, Mining And Geological Engineers, Including Mining Safety Engineers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG-Other Engineers,1646,1353,0,0,0,0,0,169,0,382,245,219,0,174,164,293,0,0,0,0,87,0,69,0,64,0,34,39,0
ENG-Architectural And Civil Drafters,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,168,0,0
ENG-Other Drafters,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,225
ENG-Electrical And Electronic Engineering Technologists And Technicians,95,95,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENG-Other Engineering Technologists And Technicians, Except Drafters",1618,853,0,0,326,0,0,0,269,130,0,70,0,0,58,765,0,0,0,0,76,0,0,109,0,135,0,0,445
ENG-Surveying And Mapping Technicians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCI-Agricultural And Food Scientists,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCI-Biological Scientists,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,123
SCI-Conservation Scientists And Foresters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
