Gender,Age,Occupation,Population
Female,30.0,MGR-Facilities Managers,0.0
Male,18.0,MGR-Computer And Information Systems Managers,183.0
Male,19.0,MGR-Computer And Information Systems Managers,0.0
Male,20.0,MGR-Computer And Information Systems Managers,0.0
Male,21.0,MGR-Computer And Information Systems Managers,63.0
Male,22.0,MGR-Computer And Information Systems Managers,0.0
Male,23.0,MGR-Computer And Information Systems Managers,0.0
Male,24.0,MGR-Computer And Information Systems Managers,0.0
Male,25.0,MGR-Computer And Information Systems Managers,175.0
Male,26.0,MGR-Computer And Information Systems Managers,0.0
Male,27.0,MGR-Computer And Information Systems Managers,0.0
Male,28.0,MGR-Computer And Information Systems Managers,0.0
Male,29.0,MGR-Computer And Information Systems Managers,59.0
Male,30.0,MGR-Computer And Information Systems Managers,0.0
Female,18.0,MGR-Computer And Information Systems Managers,0.0
Female,19.0,MGR-Computer And Information Systems Managers,0.0
Female,20.0,MGR-Computer And Information Systems Managers,0.0
Female,21.0,MGR-Computer And Information Systems Managers,0.0
Female,22.0,MGR-Computer And Information Systems Managers,0.0
Female,23.0,MGR-Computer And Information Systems Managers,0.0
Female,24.0,MGR-Computer And Information Systems Managers,0.0
Female,25.0,MGR-Computer And Information Systems Managers,0.0
Female,26.0,MGR-Computer And Information Systems Managers,0.0
Female,27.0,MGR-Computer And Information Systems Managers,0.0
Female,28.0,MGR-Computer And Information Systems Managers,0.0
Female,29.0,MGR-Computer And Information Systems Managers,0.0
Female,30.0,MGR-Computer And Information Systems Managers,123.0
Male,18.0,MGR-Financial Managers,0.0
Male,19.0,MGR-Financial Managers,0.0
Male,20.0,MGR-Financial Managers,0.0
Male,21.0,MGR-Financial Managers,0.0
Male,22.0,MGR-Financial Managers,0.0
Male,23.0,MGR-Financial Managers,272.0
Male,24.0,MGR-Financial Managers,0.0
Male,25.0,MGR-Financial Managers,0.0
Male,26.0,MGR-Financial Managers,62.0
Male,27.0,MGR-Financial Managers,393.0
Male,28.0,MGR-Financial Managers,46.0
Male,29.0,MGR-Financial Managers,359.0
Male,30.0,MGR-Financial Managers,208.0
Female,18.0,MGR-Financial Managers,0.0
Female,19.0,MGR-Financial Managers,0.0
Female,20.0,MGR-Financial Managers,0.0
Female,21.0,MGR-Financial Managers,0.0
Female,22.0,MGR-Financial Managers,59.0
Female,23.0,MGR-Financial Managers,64.0
Female,24.0,MGR-Financial Managers,625.0
